,AMZN_diff,META_diff,GOOG_diff,ORCL_diff,MSFT_diff
2022-01-01,-2.653684428307431,-0.6819039357791418,0.47751104814219253,-0.706963203224097,1.5619457805196193
2022-01-02,2.7310465721622563,3.5264876727716548,2.7096752290668826,0.9760034680498598,0.18381081997168988
2022-01-03,1.4987204098364426,10.361036029134283,0.6583964421808153,0.5642043478614739,4.7176965407571645
2022-01-04,-4.044160992907019,-11.795016778769918,-4.0949947463223095,-0.5993801634732785,-7.5848002622547925
2022-01-05,-2.6994584361747282,-7.791775672798054,-1.190658483249063,-3.0190728506130715,-0.6388029089852205
2022-01-06,-2.5643726822826327,-3.0696063173163344,-0.47564972941604844,-2.654344894151292,-4.961433731079205
2022-01-07,0.27833644403114466,2.2918668897236194,-0.22012887961161204,-0.3262710830183739,1.1589799857841236
2022-01-08,-3.419297342952284,-0.4859526691091419,1.3255504786947578,-0.7447725850568875,3.828084606747272
2022-01-09,3.234154937838462,7.850209948660185,2.741908373791054,0.9526506329256911,2.887115312411011
2022-01-10,0.5018417699786304,10.628911602241388,0.7281766724627516,0.18724528412056896,5.326956124225546
2022-01-11,-3.065886301926639,-12.367534255333881,-4.228324144102767,-0.5220369568472147,-6.696231109455558
2022-01-12,-2.618051017362122,-8.759292716352503,-0.6259680854856837,-2.2039300047954593,0.20639653672200886
2022-01-13,-1.6460039776562847,1.2318996077759525,-0.35340617707785427,-2.321282169047164,-5.3838749064160005
2022-01-14,-0.8006894352269835,-1.4646266579332694,-0.5967728170480109,-0.406317036307239,-0.35225811375309846
2022-01-15,-3.111588368665669,-0.5342531450475841,1.0363146098381701,-0.7344165823276828,2.931896108780855
2022-01-16,3.022328414407907,5.868258656471877,2.7487750285005763,0.9573623168044677,1.8120115725211017
2022-01-17,0.9042529893659461,10.546918246165042,0.7214153532532968,0.33001665417736703,5.108865138112975
2022-01-18,-3.4722912383975038,-12.055846202524412,-4.16136542158837,-0.5566403720768142,-7.028632854684739
2022-01-19,-2.657192952999571,-8.262567452558287,-0.8123604667198396,-2.526595050182163,-0.10825564069884486
2022-01-20,-2.0278776897207904,-0.7396444537895084,-0.37920942122141876,-2.4557270282716375,-5.179730101602241
2022-01-21,-0.36463930115453413,0.3385922755958781,-0.4415014025821264,-0.37947046489299735,0.2974897659102993
2022-01-22,-3.2433997448500658,-0.4681341000362257,1.159860662369339,-0.7428659550107993,3.32992763293906
2022-01-23,3.103264422203642,6.840194780684934,2.764848625884885,0.9511166747859016,2.2832662847381098
2022-01-24,0.7336614817165241,10.62882069220203,0.7424353178556573,0.2698678978891909,5.229377200547994
2022-01-25,-3.3116762701934337,-12.158363477429884,-4.167102655074605,-0.5475360858257533,-6.861337756204532
2022-01-26,-2.6469704854106126,-8.451765251470102,-0.7261421680272191,-2.4050218789372115,0.051775236311916835
2022-01-27,-1.8773081444786053,0.22741641209554594,-0.35127805850348737,-2.4076413064293134,-5.232023052265978
2022-01-28,-0.5490057888209887,-0.46263137098681173,-0.47929233730112364,-0.39435830656592635,0.06282846362647555
2022-01-29,-3.1952295698611444,-0.45561478223487895,1.1335846667885938,-0.7439730808165316,3.198284239238536
2022-01-30,3.0643155271977944,6.428384858647214,2.7775804998629248,0.94914913889871,2.121655431519589
