Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Tag,2848,103,89,132,204,406,51,757,0.00%,.4,.3,63.26
Flag,2848,101,86,119,184,479,52,916,0.00%,.4,.2,72.42
update articles API,646,1152,1248,1811,2019,2348,60,2922,0.00%,.1,.1,581.30
update complex articles API,646,1152,1248,1811,2019,2348,60,2922,0.00%,.1,.1,581.30
Custom_Fields,2836,146,131,176,242,595,90,914,0.00%,.4,4.7,70.28
ReadColumnAPI,2804,258,227,356,430,826,155,1026,0.00%,.4,.4,116.88
DS_objects_Query_API,7030,220,186,298,403,790,124,1352,0.00%,1.0,1.2,122.39
Read Articles,2748,465,425,624,734,1095,273,2680,0.00%,.4,2.9,161.84
CreateArticleSimple,692,404,367,570,646,929,253,1106,0.00%,.1,.1,129.26
SimpleArticlesCreate,692,404,367,570,646,929,253,1106,0.00%,.1,.1,129.26
Update column values API,6904,408,372,557,632,972,246,1298,0.00%,1.0,.6,130.08
Login,25,1154,1017,1534,1726,2225,851,2225,0.00%,.6,22.2,312.50
Homepage,25,9504,9563,12228,12926,13304,5985,13304,0.00%,.5,64.1,2235.26
datasources,275,1393,1345,1820,2004,2200,0,2393,0.00%,.0,.1,299.31
datasource,274,1398,1345,1824,2004,2200,921,2393,0.00%,.0,.1,287.75
Compose-Home,12,8380,8270,9288,9288,9316,7523,9316,0.00%,.9,98.2,520.13
schema,547,720,663,1039,1225,1462,0,1567,0.00%,.1,.7,229.80
Search,831,5887,5639,6873,7521,9691,4212,24990,0.48%,.1,8.9,1442.49
Create_glossary,38,9021,8334,9835,10183,29336,7362,29336,2.63%,.0,.7,3441.89
Compose-Connection-settings,786,1941,1790,2337,2491,7225,1216,10886,0.00%,.1,.9,806.81
HTTP Request-executesession,1215,232,206,304,411,765,140,1075,0.00%,.2,.2,104.02
Compose-Query-Run,459,390,346,542,685,1015,233,1377,0.00%,.1,.3,148.29
query_run,459,370,340,512,606,925,231,1047,0.00%,.1,.1,121.93
Open Aricle - 20 custom fields,110,4579,4375,5610,6095,15471,2012,22363,0.91%,.0,1.6,2210.59
table,546,3641,3568,4459,4802,5154,2535,5609,0.00%,.1,.7,617.07
Domain,110,2173,2029,2734,2813,4993,1490,5154,0.00%,.0,1.0,552.44
Open Domain,110,3296,3238,3906,4300,4857,2462,5179,0.00%,.0,1.0,535.77
column,546,1732,1692,2129,2314,2561,1203,2811,0.00%,.1,3.1,290.69
query,546,342,306,472,654,966,204,1095,0.00%,.1,.2,139.30
DS search,110,1697,1574,2171,2307,2489,1308,2520,0.00%,.0,.3,316.87
connectors,545,160,137,206,312,684,0,719,0.00%,.1,.1,92.19
DS Selection,110,6844,6644,7709,8219,8691,5567,8798,0.00%,.0,1.6,698.75
Datasource Custom field,330,103,83,138,196,612,58,899,0.00%,.0,.0,82.96
term,544,931,836,1338,1399,1577,532,1782,0.00%,.1,.1,295.47
CreateArticle,30,41865,42004,44526,44708,47416,37647,47416,0.00%,.0,1.9,2139.57
Schema Selection,69,6721,6622,7759,8530,9834,4934,10192,0.00%,.0,1.0,992.21
Compose-Queryfetchresults,456,2794,2741,3344,3571,3894,1882,4972,0.00%,.1,3.9,427.66
Result Latest,908,275,250,399,456,854,142,1201,0.44%,.1,.1,119.35
Table selection,58,7510,7404,8601,8820,10702,6046,11066,0.00%,.0,.9,941.62
Column Selection,58,6918,6866,7704,7824,7927,5715,8086,0.00%,.0,.5,592.57
Lineage,58,1251,1166,1676,1753,1879,918,1975,0.00%,.0,.7,250.76
Export-Query-Run,454,423,371,624,791,1044,237,1316,0.00%,.1,.4,165.52
query_export,454,394,361,519,625,1023,235,1302,0.00%,.1,.1,140.61
Govern,110,2929,2819,3590,4082,5125,2035,5786,0.00%,.0,1.0,646.75
Compose-export-Connection-settings,127,1924,1846,2372,2481,3025,1482,3226,0.00%,.0,.2,314.46
Compose-Export-Queryfetchresults,452,2709,2680,3236,3429,3818,1606,4451,1.99%,.1,4.0,424.40
Launch Workflows,110,4685,4600,5484,5554,6839,3498,7404,0.00%,.0,2.1,635.06
Logout,25,304,272,392,446,866,196,866,0.00%,.2,3.9,129.73
TOTAL,42616,726,301,1743,3115,6578,0,47416,0.04%,5.8,48.6,1666.73
