Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Tag,2848,100,86,118,180,495,51,753,0.00%,.4,.3,65.92
Flag,2848,99,84,116,166,571,55,966,0.00%,.4,.2,72.41
Custom_Fields,2830,166,139,213,335,716,92,1086,0.00%,.4,4.8,102.64
DS_objects_Query_API,7032,217,183,292,396,808,124,2857,0.00%,1.0,1.2,128.33
ReadColumnAPI,2804,263,227,382,456,820,158,1807,0.00%,.4,.4,128.96
CreateArticleSimple,691,426,371,611,786,1082,249,2388,0.00%,.1,.1,180.68
SimpleArticlesCreate,691,426,371,611,786,1082,249,2388,0.00%,.1,.1,180.68
Read Articles,2752,455,416,621,698,1066,298,2326,0.00%,.4,3.8,146.91
Update column values API,6908,400,361,555,627,983,240,1633,0.00%,1.0,.6,132.30
update articles API,647,1139,1260,1814,2067,2469,69,2747,0.00%,.1,.1,622.12
update complex articles API,647,1139,1260,1814,2067,2469,69,2747,0.00%,.1,.1,622.12
Login,25,2241,2275,2708,2851,3007,1455,3007,0.00%,.5,23.8,384.23
Homepage,25,9011,8891,10299,12209,12248,6063,12248,0.00%,.5,63.0,1505.53
datasources,267,1468,1412,1921,2012,2290,945,2460,0.00%,.0,.1,296.54
datasource,267,1468,1412,1921,2012,2290,945,2460,0.00%,.0,.1,296.54
schema,533,1190,1075,1815,2015,2530,0,2726,0.00%,.1,1.1,417.16
Compose-Home,12,7203,6850,8947,8947,9434,5859,9434,0.00%,.3,54.5,1183.36
Compose-Connection-settings,801,1922,1856,2373,2532,2958,1286,7081,0.00%,.1,1.0,373.40
Compose-Query-Run,473,410,375,572,676,964,265,1105,0.00%,.1,.3,134.12
query_run,473,395,369,512,596,903,263,1103,0.00%,.1,.1,115.48
HTTP Request-executesession,1249,224,201,285,386,754,140,1132,0.00%,.2,.2,92.84
Create_glossary,38,9241,9136,10221,10943,12818,7509,12818,0.00%,.0,.7,1039.15
Search,833,5913,5771,6917,7405,8535,4488,11681,0.12%,.1,9.4,802.77
Open Aricle - 20 custom fields,95,4543,4522,5830,6164,6975,2124,7612,1.05%,.0,1.4,1042.91
table,532,5328,5269,6288,6563,7132,3919,16368,0.38%,.1,.8,996.14
Domain,95,2752,2600,3346,3992,5196,1869,5233,0.00%,.0,.9,663.28
Open Domain,95,3665,3563,4205,4604,5176,2843,5426,0.00%,.0,.9,524.69
column,528,1833,1745,2260,2496,3832,1258,4055,0.00%,.1,3.2,384.69
query,528,340,300,454,664,905,209,1037,0.00%,.1,.2,138.85
connectors,528,159,133,184,280,726,94,1091,0.00%,.1,.1,109.80
DS search,95,1664,1583,1983,2116,2365,1275,2524,1.05%,.0,.3,253.85
term,528,1009,927,1387,1479,1699,615,1737,0.00%,.1,.1,287.07
CreateArticle,30,44214,43749,47072,48825,51936,39462,51936,0.00%,.0,1.9,2565.63
DS Selection,95,7307,7263,8118,8492,8858,6241,8880,0.00%,.0,1.6,636.82
Datasource Custom field,285,93,80,141,174,239,61,401,0.00%,.0,.0,39.77
Compose-Queryfetchresults,473,2774,2714,3329,3523,3899,2003,4674,0.00%,.1,4.1,419.35
Result Latest,944,265,242,371,440,876,141,1136,0.00%,.1,.1,116.63
Schema Selection,95,7188,7106,8564,9019,9887,5606,9931,0.00%,.0,1.5,936.00
Table selection,86,7985,7816,9042,9740,10094,6583,10285,0.00%,.0,1.4,805.85
Column Selection,86,6986,6958,7702,8072,8636,5492,9071,0.00%,.0,.7,594.56
Export-Query-Run,472,453,405,629,760,1180,292,1439,0.00%,.1,.4,161.92
query_export,472,426,391,564,662,1101,289,1438,0.00%,.1,.1,143.17
Compose-export-Connection-settings,144,2193,2103,2746,2868,3331,1639,3386,0.00%,.0,.2,362.35
Compose-Export-Queryfetchresults,471,2748,2733,3323,3510,3923,1702,4481,12.31%,.1,3.9,439.11
Lineage,86,1311,1259,1684,1873,2013,948,2100,0.00%,.0,1.0,242.62
Govern,93,3446,3274,4367,4655,5245,2393,6188,0.00%,.0,.9,645.34
Launch Workflows,93,5139,5037,5943,6278,7721,3982,8024,0.00%,.0,1.8,694.29
Logout,25,305,268,428,476,479,247,479,0.00%,.2,3.7,71.21
TOTAL,42668,772,303,1845,3566,6958,0,51936,0.15%,5.8,51.8,1774.41
