Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Tag,2842,122,104,144,215,645,58,1091,0.00%,.4,.3,86.56
Flag,2844,116,102,137,202,404,59,1231,0.00%,.4,.2,76.53
Custom_Fields,2816,218,188,294,438,802,113,1126,0.00%,.4,8.0,113.59
DS_objects_Query_API,7004,258,222,347,450,899,147,1863,0.00%,1.0,1.2,131.99
ReadColumnAPI,2788,316,275,423,591,1007,185,1365,0.00%,.4,.4,149.42
CreateArticleSimple,687,480,425,670,849,1225,287,1461,0.00%,.1,.1,182.62
SimpleArticlesCreate,687,480,425,670,849,1225,287,1461,0.00%,.1,.1,182.62
Read Articles,2724,555,507,742,896,1297,343,1556,0.00%,.4,3.7,175.40
Update column values API,6900,410,371,560,651,1057,234,1511,0.00%,1.0,.6,140.77
update articles API,643,1207,1338,1769,1982,2207,90,2482,0.00%,.1,.1,550.15
update complex articles API,643,1207,1338,1769,1982,2207,90,2482,0.00%,.1,.1,550.15
Login,25,2400,2528,2919,3384,3470,1572,3470,0.00%,.5,17.0,541.92
Homepage,25,7250,8604,10768,11087,12209,3206,12209,0.00%,.4,377.3,2852.49
datasources,264,1718,1638,2254,2381,2811,1203,3174,0.00%,.0,.1,331.97
datasource,264,1718,1638,2254,2381,2811,1203,3174,0.00%,.0,.1,331.97
DS Page,139,1537,1473,2058,2108,2293,1104,2535,0.00%,.0,.5,298.45
Compose-Home,12,7344,7198,7670,7670,8680,6830,8680,0.00%,.3,56.5,454.49
schema,528,1246,1170,1870,2091,2471,732,2740,0.00%,.1,1.1,406.93
DS Selection,139,4358,4246,5123,5280,6478,3328,6539,0.00%,.0,.9,585.71
Compose-Connection-settings,753,2160,2095,2647,2809,3078,1465,4038,0.00%,.1,1.0,347.65
HTTP Request-executesession,1199,211,190,261,340,751,123,1025,0.00%,.2,.2,91.97
Compose-Query-Run,452,643,413,1776,2092,2665,268,4135,0.00%,.1,.4,587.37
query_run,452,423,386,571,660,987,261,1516,0.00%,.1,.1,136.31
Schema Selection,57,5056,5071,5792,5923,6120,4078,6304,0.00%,.0,.3,533.99
table,528,5934,5874,7066,7423,8482,4377,8551,0.00%,.1,.9,832.13
Domain,93,546,519,680,749,914,367,1017,0.00%,.0,.3,118.40
Table selection,56,5944,5863,6834,7058,7365,4770,7647,0.00%,.0,.4,660.96
Search,361,17093,16858,19345,20480,21995,13435,23986,0.28%,.1,18.1,1738.80
Lineage- 500 to1k df,46,1738,1635,2266,2436,2632,1282,2632,0.00%,.0,.5,358.76
column,527,2230,2189,2733,2912,3108,0,3202,0.00%,.1,3.1,368.87
Create Glosary,42,25768,25664,28079,29436,30376,21028,30376,0.00%,.0,.7,1862.78
query,524,383,341,524,631,1133,0,1250,0.00%,.1,.2,150.86
connectors,522,182,160,213,289,817,113,1075,0.00%,.1,.1,104.17
Open Domain,93,10427,10258,12257,12760,13526,7587,13741,1.08%,.0,.3,1195.37
term,522,257,221,394,448,801,163,1270,0.00%,.1,.0,122.47
Compose-Queryfetchresults,452,3042,2978,3701,3923,4413,2063,5028,0.00%,.1,3.9,483.57
Result Latest,893,226,204,295,377,756,130,1116,0.00%,.1,.1,94.41
CreateArticle,30,45349,45228,48058,51948,53231,39258,53231,0.00%,.0,2.1,3264.17
Document hub,92,9147,9134,10669,10810,11515,7086,12020,16.30%,.0,.6,1047.14
Open Folder,92,12413,12408,13831,14210,14988,9867,15506,98.91%,.0,1.3,1139.70
Compose-export-Connection-settings,144,2329,2266,2746,3178,3371,1661,3570,0.00%,.0,.2,350.81
Export-Query-Run,445,641,437,1409,2119,2611,291,3240,0.00%,.1,.3,524.81
query_export,445,457,420,598,686,1085,289,1654,0.00%,.1,.1,144.35
Open Document,92,12360,12413,13483,13861,14598,9475,15178,96.74%,.0,.9,1106.81
Govern,91,856,825,1065,1125,1426,610,1441,0.00%,.0,.4,165.90
Compose-Export-Queryfetchresults,441,2993,2900,3674,3829,4112,2080,4744,0.91%,.1,3.6,483.48
Launch Workflows,91,4556,4488,5234,5480,6500,3415,6816,0.00%,.0,1.5,602.31
Column Selection,10,5928,5708,6533,6533,7332,4664,7332,0.00%,.0,.1,696.71
Logout,25,471,406,603,924,1074,212,1074,0.00%,.2,3.5,214.07
TOTAL,41544,917,316,1895,3130,14811,0,53231,0.48%,5.7,61.2,2519.17
