Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Custom_Fields,2830,164,138,203,300,750,87,1042,0.00%,.4,4.9,105.45
Flag,2846,106,90,131,204,625,57,774,0.00%,.4,.2,75.98
Tag,2844,111,90,138,219,634,53,1121,0.00%,.4,.3,90.61
update articles API,641,1242,1318,1886,2144,2609,72,3027,0.00%,.1,.1,587.46
update complex articles API,641,1242,1318,1886,2144,2609,72,3027,0.00%,.1,.1,587.46
ReadColumnAPI,2780,346,294,473,825,988,202,1444,0.00%,.4,.4,170.18
DS_objects_Query_API,7026,229,193,305,417,850,118,1479,0.00%,1.0,1.2,134.70
Read Articles,2736,516,478,702,794,1146,313,2023,0.00%,.4,2.9,156.74
Update column values API,6894,422,383,570,646,1058,242,1684,0.00%,1.0,.6,142.47
CreateArticleSimple,618,1661,1614,2031,2120,2338,1293,2640,0.00%,.1,.1,254.72
SimpleArticlesCreate,618,1661,1614,2031,2120,2338,1293,2640,0.00%,.1,.1,254.72
Login,25,2575,2438,2898,4453,7317,1273,7317,0.00%,.5,24.1,1133.22
datasources,279,1707,1644,2289,2415,2620,1111,2796,0.00%,.0,.2,350.80
datasource,279,1707,1644,2289,2415,2620,1111,2796,0.00%,.0,.2,350.80
Homepage,25,11715,11489,15630,17271,17290,5912,17290,0.00%,.5,65.6,3275.25
Compose-Home,12,12646,12364,16321,16321,17601,7996,17601,0.00%,.6,153.5,3089.35
schema,558,1279,1133,1916,2195,2976,622,4273,0.00%,.1,.9,505.74
Search,823,6418,6227,7693,8350,9804,4590,14355,0.12%,.1,10.4,1052.14
Compose-Connection-settings,906,2172,2066,2614,2889,5275,1364,10639,0.00%,.1,1.2,644.64
table,557,1113,1000,1637,1909,2451,0,11380,0.00%,.1,1.9,595.23
Open Aricle - 20 custom fields,107,4561,4457,5840,6076,6741,2128,6860,0.00%,.0,1.5,946.64
HTTP Request-executesession,1199,265,239,356,433,890,142,1229,0.00%,.2,.3,121.45
Compose-Query-Run,456,448,387,580,951,1365,242,3091,0.00%,.1,.3,248.92
query_run,456,422,377,547,794,1175,240,1556,0.00%,.1,.1,180.76
Create_glossary,37,13592,13302,14784,15003,17952,11493,17952,0.00%,.0,.6,1123.63
Domain Page,107,2631,2500,3350,3751,4564,1658,5344,0.00%,.0,.9,638.91
column,554,1961,1877,2418,2614,3066,1314,12083,0.00%,.1,3.0,552.25
Selecting Domain,107,3608,3532,4451,4652,5078,2697,5583,0.00%,.0,1.0,566.46
query,552,397,358,528,700,1062,228,1178,0.00%,.1,.3,157.54
connectors,552,161,143,212,298,376,96,787,0.00%,.1,.1,73.70
DS search,107,1743,1659,2238,2308,3248,1269,3591,0.00%,.0,.3,352.70
term,552,1091,983,1523,1610,1805,643,2043,0.00%,.1,.1,323.64
DS Selection,107,7626,7364,8850,9394,11440,6008,11565,0.00%,.0,1.8,987.65
Datasource Custom field,321,108,88,149,206,320,60,1000,0.00%,.0,.0,86.00
Compose-Queryfetchresults,897,3253,3141,3880,4172,7989,2127,12405,19.06%,.1,6.8,898.26
Result Latest,897,290,265,379,469,901,152,1072,1.45%,.1,.1,125.44
Govern,106,3541,3470,4340,4934,6745,2472,7488,0.00%,.0,.9,811.35
Launch Workflows,105,5444,5282,6646,6993,7439,3982,7538,0.00%,.0,2.0,784.84
CreateArticle,25,93523,93246,96501,100223,100595,87869,100595,0.00%,.0,1.5,3258.89
Export-Query-Run,450,455,411,633,719,1122,283,1288,0.00%,.1,.3,142.34
query_export,450,442,405,603,680,975,281,1287,0.00%,.1,.1,123.91
Schema Selection,75,7592,7548,8688,8981,9820,5346,11749,0.00%,.0,1.3,952.53
Table selection,55,8250,8010,9647,9754,10123,6465,10487,0.00%,.0,1.0,923.26
Column Selection,55,7563,7587,8398,8762,9603,5755,10143,0.00%,.0,.5,887.88
Lineage,55,1410,1331,1769,2197,2619,969,2688,0.00%,.0,.7,359.06
Logout,25,275,255,380,472,481,191,481,0.00%,.2,4.4,82.36
TOTAL,42347,837,328,1884,3092,7325,0,100595,0.44%,5.8,50.8,2641.91
