Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Flag,2838,133,99,145,205,712,56,8266,0.00%,.4,.2,335.75
Tag,2838,135,101,151,223,776,53,7976,0.00%,.4,.3,310.62
DS_objects_Query_API,6992,272,220,351,529,936,133,9128,0.00%,1.0,1.2,312.43
Custom_Fields,2820,204,157,251,393,872,97,6176,0.00%,.4,4.8,298.72
ReadColumnAPI,2786,320,268,420,564,980,180,8081,0.00%,.4,.4,291.95
update articles API,638,1298,1327,1910,2145,2703,91,10265,0.00%,.1,.1,705.29
update complex articles API,638,1298,1327,1910,2145,2703,91,10265,0.00%,.1,.1,705.29
Read Articles,2732,533,464,698,883,1363,315,8758,0.00%,.4,3.8,413.61
CreateArticleSimple,689,455,402,603,725,1166,268,9000,0.00%,.1,.1,371.36
SimpleArticlesCreate,689,455,402,603,725,1166,268,9000,0.00%,.1,.1,371.36
Update column values API,6878,443,400,596,697,1104,149,9222,0.03%,1.0,.6,222.54
Login,25,2360,2267,3101,3210,3484,1592,3484,0.00%,.6,24.3,559.22
Homepage,25,7865,8246,10373,11116,11299,3923,11299,0.00%,.5,435.1,2381.14
datasources,252,1482,1419,1905,2189,2655,0,3120,0.00%,.0,.1,359.42
datasource,251,1488,1425,1905,2189,2655,978,3120,0.00%,.0,.1,347.72
DS Page,143,1403,1303,1698,1945,2852,1018,5614,0.00%,.0,.5,451.93
Compose-Home,12,7419,7345,8000,8000,8589,6459,8589,0.00%,.3,52.9,601.03
schema,500,1451,1268,2162,2489,3334,0,4598,0.40%,.1,1.1,584.34
DS Selection,142,4335,4154,5197,5921,6687,3166,13392,0.00%,.0,1.0,1042.23
Compose-Connection-settings,747,2717,2030,2820,3984,21511,1467,33351,4.69%,.1,1.3,3300.90
HTTP Request-executesession,1183,289,249,361,437,917,151,7619,0.00%,.2,.9,320.02
Compose-Query-Run,450,522,382,652,991,5137,232,5930,0.00%,.1,.2,649.91
query_run,450,498,373,597,786,5136,231,5928,0.00%,.1,.1,645.94
Schema Selection,62,4866,4831,5484,5535,5751,3682,5980,0.00%,.0,.3,490.94
table,498,5669,5543,6820,7263,9142,3792,10836,0.00%,.1,.8,987.55
Domain,94,555,482,630,686,998,358,5440,0.00%,.0,.3,517.25
Table selection,59,5871,5735,6536,6811,7780,4719,12055,1.69%,.0,.6,1003.05
Search,357,19834,19538,22837,24400,28076,14533,32155,0.00%,.0,18.6,2554.74
column,498,1905,1816,2324,2640,3100,1333,8094,0.00%,.1,2.8,520.59
Lineage,46,1550,1483,1914,2074,2459,1154,2459,0.00%,.0,.5,266.02
query,498,384,329,480,557,1156,225,6527,0.00%,.1,.2,414.11
Create Glosary,43,24208,24181,26418,27742,29435,20309,29435,0.00%,.0,.8,1844.00
connectors,498,199,152,219,292,864,110,5549,0.00%,.1,.1,355.33
Open Domain,94,9890,9694,11971,12742,13792,7740,17195,1.06%,.0,.3,1565.59
term,498,5307,5343,5817,5969,6709,4477,6981,0.00%,.1,.1,444.12
Compose-Queryfetchresults,443,3006,2943,3645,3936,4404,2007,10213,0.23%,.1,4.1,597.19
Result Latest,881,300,266,395,468,997,146,7316,0.23%,.1,.1,272.08
CreateArticle,30,45816,44670,50895,52311,54651,40704,54651,3.33%,.0,2.1,3315.35
Document hub,94,8470,8395,9685,9955,10787,6347,11358,5.32%,.0,.6,898.84
Open Folder,94,11495,11205,13232,13335,19837,8853,21463,84.04%,.0,1.3,1892.47
Export-Query-Run,440,540,412,716,1003,4415,273,7154,0.00%,.1,.2,623.09
query_export,440,518,401,605,811,4414,271,7153,0.00%,.1,.1,620.60
Compose-export-Connection-settings,143,2633,2324,2774,3025,14481,1749,26281,2.10%,.0,.3,2301.26
Open Document,94,11563,11278,13342,13621,20578,8495,20833,81.91%,.0,.9,1961.45
Govern,94,819,748,965,1024,1663,584,4227,0.00%,.0,.4,386.17
Compose-Export-Queryfetchresults,438,3188,2792,3662,4113,15524,1967,36982,1.14%,.1,3.6,2702.50
Launch Workflows,94,4394,4202,5244,5777,6856,3236,10390,0.00%,.0,1.6,948.21
Column Selection,12,5346,5000,6282,6282,6525,4315,6525,0.00%,.0,.1,729.80
Logout,25,488,367,801,1086,1107,215,1107,0.00%,.2,2.8,273.77
TOTAL,41285,1009,332,1999,4605,16930,0,54651,0.52%,5.6,59.6,2766.61
