Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Tag,2846,107,93,126,174,607,53,1021,0.00%,.4,.3,76.36
Flag,2846,107,92,123,164,607,50,908,0.00%,.4,.2,75.38
DS_objects_Query_API,7022,233,200,299,429,820,125,1048,0.00%,1.0,1.3,121.41
Custom_Fields,2830,168,144,210,317,709,93,898,0.00%,.4,4.8,93.89
ReadColumnAPI,2800,277,240,383,492,880,159,1250,0.00%,.4,.4,131.63
CreateArticleSimple,692,416,361,560,758,1182,252,2443,0.00%,.1,.1,185.20
SimpleArticlesCreate,692,416,361,560,758,1182,252,2443,0.00%,.1,.1,185.20
Read Articles,2754,444,404,583,700,1066,280,1847,0.00%,.4,3.8,154.50
Update column values API,6910,397,360,520,625,1058,239,2562,0.00%,1.0,.6,144.94
update articles API,645,1174,1257,1710,1957,2351,77,2827,0.00%,.1,.1,515.47
update complex articles API,645,1174,1257,1710,1957,2351,77,2827,0.00%,.1,.1,515.47
Login,25,1945,1864,2308,2967,3038,1354,3038,0.00%,.5,21.3,427.74
Homepage,25,7006,8294,10069,11271,11615,3384,11615,0.00%,.5,524.5,2834.70
datasources,259,1312,1260,1633,1860,2065,0,2788,0.00%,.0,.1,290.71
datasource,258,1317,1260,1633,1860,2065,919,2788,0.00%,.0,.1,279.53
DS Page,146,1307,1232,1747,1927,2108,899,2154,89.73%,.0,1.2,259.02
DS Selection,146,4232,3772,4656,4886,5962,2833,63698,0.68%,.0,1.0,4970.19
schema,516,965,881,1345,1660,1914,590,2239,0.00%,.1,1.0,301.22
Compose-Home,12,6253,6281,7058,7058,7358,5197,7358,0.00%,.3,65.6,645.22
Compose-Connection-settings,759,1881,1814,2349,2500,2872,1282,3341,0.00%,.1,1.0,320.85
Compose-Query-Run,455,383,351,540,681,975,242,1280,0.00%,.1,.3,139.68
query_run,455,360,341,429,548,917,238,1279,0.00%,.1,.1,109.41
HTTP Request-executesession,1208,243,221,322,394,839,135,1135,0.00%,.2,.2,107.28
Domain,98,480,447,587,639,985,332,1186,0.00%,.0,.3,130.59
table,516,4218,4135,5108,5239,5869,3173,6152,0.00%,.1,.8,586.13
Schema Selection,60,4470,4412,5024,5357,5613,3633,5659,0.00%,.0,.3,453.84
Table selection,59,5365,5278,6017,6367,6452,4368,7703,0.00%,.0,.6,578.75
column,516,1576,1533,1856,2041,2325,1203,2915,0.00%,.1,2.9,241.32
Search,366,16402,16080,18386,19231,20707,12175,75357,0.55%,.1,19.6,3508.13
Lineage,47,1589,1458,2213,2534,3012,1153,3012,0.00%,.0,.5,425.46
Open Domain,98,8382,8262,9410,9826,11607,6551,11958,0.00%,.0,.4,934.45
query,516,325,294,423,500,954,215,1001,0.00%,.1,.2,114.76
connectors,515,154,136,176,230,673,0,757,0.00%,.1,.1,81.87
Create Glosary,43,22167,21974,24989,25745,26433,18926,26433,0.00%,.0,.8,1767.58
Document hub,98,8142,8121,9089,9647,9911,6380,10215,1.02%,.0,.5,812.14
term,514,5059,5082,5451,5557,5953,4346,15332,0.00%,.1,.1,568.61
Compose-Queryfetchresults,452,2703,2672,3214,3324,3902,1871,4259,0.00%,.1,4.0,409.04
Result Latest,903,268,244,371,434,838,133,1212,0.00%,.1,.1,115.78
CreateArticle,30,43676,44002,46267,47654,49538,38799,49538,0.00%,.0,2.1,2637.48
Open Folder,98,10263,10209,11122,11718,11936,8600,12768,65.31%,.0,1.4,794.26
Open Document,98,9956,9946,11043,11265,11717,8137,12121,47.96%,.0,.9,892.72
Govern,98,761,718,927,1193,1384,563,1385,0.00%,.0,.4,165.34
Compose-export-Connection-settings,148,2047,1976,2525,2655,3044,1527,3286,0.00%,.0,.2,307.97
Export-Query-Run,452,406,370,561,640,961,239,1174,0.00%,.1,.3,129.87
query_export,452,384,360,492,581,785,237,1083,0.00%,.1,.1,104.38
Launch Workflows,97,4269,4145,5039,5429,6322,3168,7212,0.00%,.0,1.7,685.70
Compose-Export-Queryfetchresults,451,2558,2511,3125,3350,3722,1729,4395,0.22%,.1,3.7,438.17
Column Selection,12,4995,4755,5434,5434,6586,4423,6586,0.00%,.0,.1,561.44
Logout,25,438,461,623,706,829,197,829,0.00%,.2,3.2,162.73
TOTAL,41708,867,302,1711,3731,13874,0,75357,0.59%,5.7,61.4,2392.75
