Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Tag,2846,103,89,126,161,625,51,890,0.00%,.4,.3,76.53
Flag,2846,105,87,131,209,628,49,880,0.00%,.4,.2,81.99
DS_objects_Query_API,7030,219,189,293,384,817,116,1275,0.00%,1.0,1.2,116.47
Custom_Fields,2828,175,142,247,370,765,89,1116,0.00%,.4,4.8,113.92
ReadColumnAPI,2784,334,282,477,813,955,189,1225,0.00%,.4,.4,164.26
Read Articles,2766,405,369,573,656,996,218,1216,0.00%,.4,2.8,137.79
Update column values API,6900,413,377,564,643,1025,235,1678,0.00%,1.0,.6,138.94
update articles API,665,839,826,1333,1540,1839,83,2372,0.00%,.1,.1,405.10
update complex articles API,665,839,826,1333,1540,1839,83,2372,0.00%,.1,.1,405.10
CreateArticleSimple,621,1611,1557,1961,2101,2439,171,2780,0.16%,.1,.1,260.82
SimpleArticlesCreate,621,1611,1557,1961,2101,2439,171,2780,0.16%,.1,.1,260.82
Login,25,2245,2258,2938,3326,3729,839,3729,0.00%,.5,22.9,645.14
datasources,279,1551,1501,1926,2363,2764,959,3439,0.36%,.0,.1,358.02
datasource,279,1551,1501,1926,2363,2764,959,3439,0.36%,.0,.1,358.02
Homepage,25,11326,12093,15133,15198,16664,5581,16664,0.00%,.5,64.4,3308.27
Compose-Home,12,9905,9803,10837,10837,11234,8121,11234,0.00%,.7,125.2,755.39
schema,558,1280,1160,1902,2163,3085,646,3249,0.00%,.1,.9,499.89
Compose-Connection-settings,797,1934,1882,2373,2620,3224,1238,4207,0.13%,.1,1.0,357.78
Compose-Query-Run,473,400,359,572,686,1043,156,1359,3.81%,.1,.3,157.20
query_run,473,386,349,555,636,1015,108,1356,3.81%,.1,.1,150.68
HTTP Request-executesession,1244,238,213,316,407,856,135,1291,0.00%,.2,.4,108.74
Open Aricle - 20 custom fields,110,4253,4195,5554,5635,6988,2423,7643,0.00%,.0,1.5,991.64
table,558,1125,1026,1658,1917,2510,549,3210,0.00%,.1,1.9,421.11
Domain Page,110,2340,2183,2808,3291,4500,1780,4561,0.00%,.0,1.0,520.70
Create_glossary,37,12815,12839,13644,15424,16970,11027,16970,0.00%,.0,.7,1306.91
Search,830,6168,5977,7221,8140,9890,4478,11959,0.24%,.1,9.4,970.31
Selecting Domain,110,3414,3302,4035,4180,5850,2449,7212,0.00%,.0,1.0,645.83
column,558,1983,1884,2535,2736,3028,1319,11764,0.00%,.1,3.1,557.14
query,556,369,338,520,609,953,217,987,0.00%,.1,.3,131.57
DS search,110,1691,1621,2077,2321,2573,1232,3115,0.00%,.0,.3,313.07
connectors,554,170,141,251,319,727,0,775,0.00%,.1,.1,109.31
DS Selection,110,7098,6985,8138,8563,9046,5898,9065,0.00%,.0,2.0,710.00
Datasource Custom field,330,108,87,154,189,653,55,1211,0.00%,.0,.0,93.96
term,552,991,879,1437,1519,1666,532,2334,0.00%,.1,.1,323.70
Schema Selection,75,6981,6915,7992,8204,9100,5749,9102,0.00%,.0,1.1,796.34
Compose-Queryfetchresults,473,2885,2831,3470,3637,4114,2057,4653,3.81%,.1,4.1,429.08
Result Latest,939,271,257,376,429,650,82,1003,4.26%,.1,.1,94.62
Table selection,57,7625,7606,8493,8755,8800,6301,8985,0.00%,.0,1.0,652.16
Column Selection,57,7332,7157,8143,8333,8841,6275,10700,0.00%,.0,.5,783.78
Govern,109,3190,3083,3867,4160,4305,2320,6939,0.00%,.0,1.0,578.01
Lineage,56,1278,1253,1468,1724,1875,931,2022,0.00%,.0,.6,219.84
Launch Workflows,108,5183,5096,5872,6418,7014,4038,9906,0.00%,.0,2.1,744.62
Export-Query-Run,469,430,393,588,766,1052,181,1293,3.84%,.1,.5,154.31
query_export,469,398,382,515,605,910,129,1232,3.84%,.1,.1,118.57
CreateArticle,25,91544,91709,95701,97054,98310,82087,98310,4.00%,.0,1.5,3759.30
Compose-export-Connection-settings,145,1993,1890,2427,2557,3276,1395,4025,0.00%,.0,.2,362.47
Compose-Export-Queryfetchresults,466,2901,2853,3505,3699,4084,1813,5062,14.16%,.1,3.9,456.08
Logout,25,293,267,365,445,554,204,554,0.00%,.3,6.0,78.48
TOTAL,42735,783,310,1776,2865,6842,0,98310,0.48%,5.9,51.8,2546.76
