Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Flag,5688,118,98,162,256,463,59,1350,0.04%,.4,.2,75.89
Tag,5686,122,101,169,254,433,64,3401,0.00%,.4,.3,101.00
DS_objects_Query_API,14160,156,134,207,302,616,87,3039,0.01%,1.0,1.2,97.98
Custom_Fields,5650,189,158,286,404,653,99,1763,0.00%,.4,4.8,106.93
ReadColumnAPI,5636,211,184,287,393,676,43,1796,0.04%,.4,.4,106.49
Read Articles,5284,896,835,1188,1355,1711,301,2917,0.00%,.4,8.3,236.21
Update column values API,13770,445,400,609,686,1082,263,3892,0.00%,1.0,.6,163.15
update articles API,1309,999,1084,1536,1676,2072,83,3940,0.00%,.1,.1,484.40
update complex articles API,1309,999,1084,1536,1676,2072,83,3940,0.00%,.1,.1,484.40
CreateArticleSimple,1237,1642,1593,1968,2118,2439,1295,4370,0.00%,.1,.1,264.03
SimpleArticlesCreate,1237,1642,1593,1968,2118,2439,1295,4370,0.00%,.1,.1,264.03
Login,25,2717,2482,3807,4260,4540,1690,4540,0.00%,.5,23.3,714.66
datasources,539,180,146,268,359,596,91,968,0.00%,.0,.1,96.80
datasource,539,180,146,268,359,596,91,968,0.00%,.0,.1,96.80
Homepage,25,15820,17970,19473,19825,21683,6661,21683,12.00%,.4,68.8,4345.31
schema,1078,1293,1197,1876,2071,2693,716,3810,0.00%,.1,1.2,415.16
Compose-Home,12,19632,19332,20142,20142,21934,18229,21934,0.00%,.4,73.8,878.35
Search,1647,6193,5932,7359,8418,10642,4440,18307,0.00%,.1,12.2,1155.40
Open Aricle - 20 custom fields,188,5273,5160,6671,7039,7955,2623,8833,0.00%,.0,2.0,1076.68
table,1077,6045,5954,7157,7658,9865,0,16315,0.00%,.1,.9,1153.65
Compose-Connection-settings,1801,2490,2122,2713,3054,13744,1457,47896,1.17%,.1,1.1,2795.52
Compose-Query-Run,904,529,398,628,754,1813,269,18641,0.22%,.1,.2,1026.10
query_run,904,515,389,596,715,1811,268,18640,0.22%,.1,.1,1025.57
Domain Page,188,2227,2090,2752,3027,3921,1555,7787,0.00%,.0,.9,599.81
HTTP Request-executesession,2396,204,181,296,379,563,97,1466,0.00%,.2,.4,93.69
Create_glossary,73,13234,12902,13608,14675,21322,11023,26632,0.00%,.0,.6,2008.53
column,1075,1793,1743,2309,2490,3098,0,3379,0.19%,.1,3.0,389.12
Selecting Domain,188,3504,3326,4129,4610,6825,2567,7519,0.00%,.0,.8,728.46
query,1074,293,258,425,503,756,162,1532,0.00%,.1,.2,120.63
connectors,1074,168,145,240,333,482,102,765,0.00%,.1,.1,77.32
DS search,187,1700,1609,2035,2238,2759,1266,3618,0.00%,.0,.2,323.75
term,1073,447,403,653,728,969,0,1576,0.00%,.1,.1,149.46
DS Selection,187,9280,9194,10200,10575,12709,7473,15395,0.53%,.0,3.0,1018.28
Datasource Custom field,2992,108,89,161,242,331,59,782,0.00%,.2,.2,63.54
CreateArticle,58,50710,49862,54134,55873,61337,45789,77026,0.00%,.0,1.8,4549.12
Compose-Queryfetchresults,898,3055,2950,3588,3822,5205,2038,19721,0.00%,.1,3.9,821.30
Result Latest,1794,296,269,422,491,731,143,4466,0.39%,.1,.1,167.08
Schema Selection,187,7312,7152,8340,9155,10679,5456,12330,0.00%,.0,1.4,972.71
Table selection,144,8237,7992,9463,10228,13446,6706,15003,0.00%,.0,1.2,1185.04
Column Selection,143,7711,7463,9103,9886,12353,5821,12569,0.00%,.0,.7,1100.51
Govern,187,2658,2505,3259,3546,4093,1964,13138,0.00%,.0,.9,889.16
Launch Workflows,186,4708,4595,5496,6050,7810,3509,8129,0.00%,.0,1.8,758.86
Export-Query-Run,897,515,412,643,837,1652,280,24969,0.22%,.1,.2,919.63
query_export,897,499,406,608,725,1480,279,24968,0.22%,.1,.1,913.74
Lineage,143,1380,1324,1762,1967,2218,984,2276,0.00%,.0,.8,273.38
ComposeExport-Queryfetchresults,896,3145,3010,3627,3854,4743,1919,30982,0.78%,.1,2.6,1346.78
Logout,25,323,304,423,478,563,228,563,0.00%,.2,5.3,90.23
TOTAL,86667,828,278,1886,3516,7502,0,77026,0.06%,6.0,58.7,2028.81
