Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date
Create_glossary,38,9241,9136,10221,10943,12818,7509,12818,0.00%,0.0,0.7,1039.15,2024-08
Search,833,5913,5771,6917,7405,8535,4488,11681,0.12%,0.1,9.4,802.77,2024-08
table,532,5328,5269,6288,6563,7132,3919,16368,0.38%,0.1,0.8,996.14,2024-08
Domain,95,2752,2600,3346,3992,5196,1869,5233,0.00%,0.0,0.9,663.28,2024-08
Open Domain,95,3665,3563,4205,4604,5176,2843,5426,0.00%,0.0,0.9,524.69,2024-08
column,528,1833,1745,2260,2496,3832,1258,4055,0.00%,0.1,3.2,384.69,2024-08
query,528,340,300,454,664,905,209,1037,0.00%,0.1,0.2,138.85,2024-08
connectors,528,159,133,184,280,726,94,1091,0.00%,0.1,0.1,109.8,2024-08
DS search,95,1664,1583,1983,2116,2365,1275,2524,1.05%,0.0,0.3,253.85,2024-08
term,528,1009,927,1387,1479,1699,615,1737,0.00%,0.1,0.1,287.07,2024-08
DS Selection,95,7307,7263,8118,8492,8858,6241,8880,0.00%,0.0,1.6,636.82,2024-08
Datasource Custom field,285,93,80,141,174,239,61,401,0.00%,0.0,0.0,39.77,2024-08
Compose-Queryfetchresults,473,2774,2714,3329,3523,3899,2003,4674,0.00%,0.1,4.1,419.35,2024-08
Result Latest,944,265,242,371,440,876,141,1136,0.00%,0.1,0.1,116.63,2024-08
Schema Selection,95,7188,7106,8564,9019,9887,5606,9931,0.00%,0.0,1.5,936.0,2024-08
Table selection,86,7985,7816,9042,9740,10094,6583,10285,0.00%,0.0,1.4,805.85,2024-08
Column Selection,86,6986,6958,7702,8072,8636,5492,9071,0.00%,0.0,0.7,594.56,2024-08
Export-Query-Run,472,453,405,629,760,1180,292,1439,0.00%,0.1,0.4,161.92,2024-08
query_export,472,426,391,564,662,1101,289,1438,0.00%,0.1,0.1,143.17,2024-08
Compose-export-Connection-settings,144,2193,2103,2746,2868,3331,1639,3386,0.00%,0.0,0.2,362.35,2024-08
Compose-Export-Queryfetchresults,471,2748,2733,3323,3510,3923,1702,4481,12.31%,0.1,3.9,439.11,2024-08
Lineage,86,1311,1259,1684,1873,2013,948,2100,0.00%,0.0,1.0,242.62,2024-08
Govern,93,3446,3274,4367,4655,5245,2393,6188,0.00%,0.0,0.9,645.34,2024-08
Launch Workflows,93,5139,5037,5943,6278,7721,3982,8024,0.00%,0.0,1.8,694.29,2024-08
Logout,25,305,268,428,476,479,247,479,0.00%,0.2,3.7,71.21,2024-08
Tag,2846,107,93,126,174,607,53,1021,0.00%,0.4,0.3,76.36,2024-09
Flag,2846,107,92,123,164,607,50,908,0.00%,0.4,0.2,75.38,2024-09
DS_objects_Query_API,7022,233,200,299,429,820,125,1048,0.00%,1.0,1.3,121.41,2024-09
Custom_Fields,2830,168,144,210,317,709,93,898,0.00%,0.4,4.8,93.89,2024-09
ReadColumnAPI,2800,277,240,383,492,880,159,1250,0.00%,0.4,0.4,131.63,2024-09
CreateArticleSimple,692,416,361,560,758,1182,252,2443,0.00%,0.1,0.1,185.2,2024-09
SimpleArticlesCreate,692,416,361,560,758,1182,252,2443,0.00%,0.1,0.1,185.2,2024-09
Read Articles,2754,444,404,583,700,1066,280,1847,0.00%,0.4,3.8,154.5,2024-09
Update column values API,6910,397,360,520,625,1058,239,2562,0.00%,1.0,0.6,144.94,2024-09
update articles API,645,1174,1257,1710,1957,2351,77,2827,0.00%,0.1,0.1,515.47,2024-09
update complex articles API,645,1174,1257,1710,1957,2351,77,2827,0.00%,0.1,0.1,515.47,2024-09
Login,25,1945,1864,2308,2967,3038,1354,3038,0.00%,0.5,21.3,427.74,2024-09
Homepage,25,7006,8294,10069,11271,11615,3384,11615,0.00%,0.5,524.5,2834.7,2024-09
datasources,259,1312,1260,1633,1860,2065,0,2788,0.00%,0.0,0.1,290.71,2024-09
datasource,258,1317,1260,1633,1860,2065,919,2788,0.00%,0.0,0.1,279.53,2024-09
DS Page,146,1307,1232,1747,1927,2108,899,2154,89.73%,0.0,1.2,259.02,2024-09
DS Selection,146,4232,3772,4656,4886,5962,2833,63698,0.68%,0.0,1.0,4970.19,2024-09
schema,516,965,881,1345,1660,1914,590,2239,0.00%,0.1,1.0,301.22,2024-09
Compose-Connection-settings,759,1881,1814,2349,2500,2872,1282,3341,0.00%,0.1,1.0,320.85,2024-09
Compose-Query-Run,455,383,351,540,681,975,242,1280,0.00%,0.1,0.3,139.68,2024-09
query_run,455,360,341,429,548,917,238,1279,0.00%,0.1,0.1,109.41,2024-09
HTTP Request-executesession,1208,243,221,322,394,839,135,1135,0.00%,0.2,0.2,107.28,2024-09
Domain,98,480,447,587,639,985,332,1186,0.00%,0.0,0.3,130.59,2024-09
table,516,4218,4135,5108,5239,5869,3173,6152,0.00%,0.1,0.8,586.13,2024-09
Schema Selection,60,4470,4412,5024,5357,5613,3633,5659,0.00%,0.0,0.3,453.84,2024-09
Table selection,59,5365,5278,6017,6367,6452,4368,7703,0.00%,0.0,0.6,578.75,2024-09
column,516,1576,1533,1856,2041,2325,1203,2915,0.00%,0.1,2.9,241.32,2024-09
Search,366,16402,16080,18386,19231,20707,12175,75357,0.55%,0.1,19.6,3508.13,2024-09
Lineage- 500 to1k df,47,1589,1458,2213,2534,3012,1153,3012,0.00%,0.0,0.5,425.46,2024-09
Open Domain,98,8382,8262,9410,9826,11607,6551,11958,0.00%,0.0,0.4,934.45,2024-09
query,516,325,294,423,500,954,215,1001,0.00%,0.1,0.2,114.76,2024-09
connectors,515,154,136,176,230,673,0,757,0.00%,0.1,0.1,81.87,2024-09
term,514,5059,5082,5451,5557,5953,4346,15332,0.00%,0.1,0.1,568.61,2024-09
Compose-Queryfetchresults,452,2703,2672,3214,3324,3902,1871,4259,0.00%,0.1,4.0,409.04,2024-09
Result Latest,903,268,244,371,434,838,133,1212,0.00%,0.1,0.1,115.78,2024-09
Govern,98,761,718,927,1193,1384,563,1385,0.00%,0.0,0.4,165.34,2024-09
Compose-export-Connection-settings,148,2047,1976,2525,2655,3044,1527,3286,0.00%,0.0,0.2,307.97,2024-09
Export-Query-Run,452,406,370,561,640,961,239,1174,0.00%,0.1,0.3,129.87,2024-09
query_export,452,384,360,492,581,785,237,1083,0.00%,0.1,0.1,104.38,2024-09
Launch Workflows,97,4269,4145,5039,5429,6322,3168,7212,0.00%,0.0,1.7,685.7,2024-09
Compose-Export-Queryfetchresults,451,2558,2511,3125,3350,3722,1729,4395,0.22%,0.1,3.7,438.17,2024-09
Column Selection,12,4995,4755,5434,5434,6586,4423,6586,0.00%,0.0,0.1,561.44,2024-09
Logout,25,438,461,623,706,829,197,829,0.00%,0.2,3.2,162.73,2024-09
Flag,2838,133,99,145,205,712,56,8266,0.00%,0.4,0.2,335.75,2024-10
Tag,2838,135,101,151,223,776,53,7976,0.00%,0.4,0.3,310.62,2024-10
DS_objects_Query_API,6992,272,220,351,529,936,133,9128,0.00%,1.0,1.2,312.43,2024-10
Custom_Fields,2820,204,157,251,393,872,97,6176,0.00%,0.4,4.8,298.72,2024-10
ReadColumnAPI,2786,320,268,420,564,980,180,8081,0.00%,0.4,0.4,291.95,2024-10
update articles API,638,1298,1327,1910,2145,2703,91,10265,0.00%,0.1,0.1,705.29,2024-10
update complex articles API,638,1298,1327,1910,2145,2703,91,10265,0.00%,0.1,0.1,705.29,2024-10
Read Articles,2732,533,464,698,883,1363,315,8758,0.00%,0.4,3.8,413.61,2024-10
CreateArticleSimple,689,455,402,603,725,1166,268,9000,0.00%,0.1,0.1,371.36,2024-10
SimpleArticlesCreate,689,455,402,603,725,1166,268,9000,0.00%,0.1,0.1,371.36,2024-10
Update column values API,6878,443,400,596,697,1104,149,9222,0.03%,1.0,0.6,222.54,2024-10
Login,25,2360,2267,3101,3210,3484,1592,3484,0.00%,0.6,24.3,559.22,2024-10
Homepage,25,7865,8246,10373,11116,11299,3923,11299,0.00%,0.5,435.1,2381.14,2024-10
datasources,252,1482,1419,1905,2189,2655,0,3120,0.00%,0.0,0.1,359.42,2024-10
