Date,Flag,Tag,DS_objects_Query_API,Custom_Fields,ReadColumnAPI,update articles API,update complex articles API,Read Articles,CreateArticleSimple,SimpleArticlesCreate,Update column values API,Login,Homepage,datasources,datasource,DS Page,Compose-Home,schema,DS Selection,Compose-Connection-settings,HTTP Request-executesession,Compose-Query-Run,query_run,Schema Selection,table,Domain,Table selection,Search,column,Lineage,query,Create Glosary,connectors,Open Domain,term,Compose-Queryfetchresults,Result Latest,CreateArticle,Document hub,Open Folder,Export-Query-Run,query_export,Compose-export-Connection-settings,Open Document,Govern,Compose-Export-Queryfetchresults,Launch Workflows,Column Selection,Logout,TOTAL,Create_glossary,Open Aricle - 20 custom fields,DS search,Datasource Custom field,day_of_week,Flag_diff,Tag_diff,DS_objects_Query_API_diff,Custom_Fields_diff,ReadColumnAPI_diff,update articles API_diff,update complex articles API_diff,Read Articles_diff,CreateArticleSimple_diff,SimpleArticlesCreate_diff,Update column values API_diff,Login_diff,Homepage_diff,datasources_diff,datasource_diff,DS Page_diff,Compose-Home_diff,schema_diff,DS Selection_diff,Compose-Connection-settings_diff,HTTP Request-executesession_diff,Compose-Query-Run_diff,query_run_diff,Schema Selection_diff,table_diff,Domain_diff,Table selection_diff,Search_diff,column_diff,Lineage_diff,query_diff,Create Glosary_diff,connectors_diff,Open Domain_diff,term_diff,Compose-Queryfetchresults_diff,Result Latest_diff,CreateArticle_diff,Document hub_diff,Open Folder_diff,Export-Query-Run_diff,query_export_diff,Compose-export-Connection-settings_diff,Open Document_diff,Govern_diff,Compose-Export-Queryfetchresults_diff,Launch Workflows_diff,Column Selection_diff,Logout_diff,TOTAL_diff,Create_glossary_diff,Open Aricle - 20 custom fields_diff,DS search_diff,Datasource Custom field_diff
2024-07-01,479,406,790,595,826,2348,2348,1095,929,929,972,2225,13304,2200,2200,,9316,1462,8691,7225,765,1015,925,9834,5154,4993,10702,9691,2561,1879,966,,684,4857,1577,3894,854,47416,,,1044,1023,3025,,5125,3818,6839,7927,866,6578,29336.0,15471.0,2489.0,612.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,571,495,808,716,820,2469,2469,1066,1082,1082,983,3007,12248,2290,2290,,9434,2530,8858,2958,754,964,903,9887,7132,5196,10094,8535,3832,2013,905,,726,5176,1699,3899,876,51936,,,1180,1101,3331,,5245,3923,7721,8636,479,6958,12818.0,6975.0,2365.0,239.0,3,92.0,89.0,18.0,121.0,-6.0,121.0,121.0,-29.0,153.0,153.0,11.0,782.0,-1056.0,90.0,90.0,,118.0,1068.0,167.0,-4267.0,-11.0,-51.0,-22.0,53.0,1978.0,203.0,-608.0,-1156.0,1271.0,134.0,-61.0,,42.0,319.0,122.0,5.0,22.0,4520.0,,,136.0,78.0,306.0,,120.0,105.0,882.0,709.0,-387.0,380.0,-16518.0,-8496.0,-124.0,-373.0
2024-09-01,607,607,820,709,880,2351,2351,1066,1182,1182,1058,3038,11615,2065,2065,2108.0,7358,1914,5962,2872,839,975,917,5613,5869,985,6452,20707,2325,3012,954,26433.0,673,11607,5953,3902,838,49538,9911.0,11936.0,961,785,3044,11717.0,1384,3722,6322,6586,829,13874,,,,,6,36.0,112.0,12.0,-7.0,60.0,-118.0,-118.0,0.0,100.0,100.0,75.0,31.0,-633.0,-225.0,-225.0,,-2076.0,-616.0,-2896.0,-86.0,85.0,11.0,14.0,-4274.0,-1263.0,-4211.0,-3642.0,12172.0,-1507.0,999.0,49.0,,-53.0,6431.0,4254.0,3.0,-38.0,-2398.0,,,-219.0,-316.0,-287.0,,-3861.0,-201.0,-1399.0,-2050.0,350.0,6916.0,,,,
2024-10-01,712,776,936,872,980,2703,2703,1363,1166,1166,1104,3484,11299,2655,2655,2852.0,8589,3334,6687,21511,917,5137,5136,5751,9142,998,7780,28076,3100,2459,1156,29435.0,864,13792,6709,4404,997,54651,10787.0,19837.0,4415,4414,14481,20578.0,1663,15524,6856,6525,1107,16930,,,,,1,105.0,169.0,116.0,163.0,100.0,352.0,352.0,297.0,-16.0,-16.0,46.0,446.0,-316.0,590.0,590.0,744.0,1231.0,1420.0,725.0,18639.0,78.0,4162.0,4219.0,138.0,3273.0,13.0,1328.0,7369.0,775.0,-553.0,202.0,3002.0,191.0,2185.0,756.0,502.0,159.0,5113.0,876.0,7901.0,3454.0,3629.0,11437.0,8861.0,279.0,11802.0,534.0,-61.0,278.0,3056.0,,,,
2024-11-01,404,645,899,802,1007,2207,2207,1297,1225,1225,1057,3470,12209,2811,2811,2293.0,8680,2471,6478,3078,751,2665,987,6120,8482,914,7365,21995,3108,2632,1133,30376.0,817,13526,801,4413,756,53231,11515.0,14988.0,2611,1085,3371,14598.0,1426,4112,6500,7332,1074,14811,,,,,4,-308.0,-131.0,-37.0,-70.0,27.0,-496.0,-496.0,-66.0,59.0,59.0,-47.0,-14.0,910.0,156.0,156.0,-559.0,91.0,-863.0,-209.0,-18433.0,-166.0,-2472.0,-4149.0,369.0,-660.0,-84.0,-415.0,-6081.0,8.0,173.0,-23.0,941.0,-47.0,-266.0,-5908.0,9.0,-241.0,-1420.0,728.0,-4849.0,-1804.0,-3329.0,-11110.0,-5980.0,-237.0,-11412.0,-356.0,807.0,-33.0,-2119.0,,,,
2024-12-01,422,530,858,809,940,1830,1830,1110,987,987,961,2799,10072,2708,2708,2218.0,10690,1622,4979,3247,663,2291,1002,5619,7438,1079,6972,15082,2456,2137,914,28447.0,784,12977,968,4151,400,48398,10382.0,13735.0,2046,1080,2792,14266.0,2185,3854,5148,6030,752,10719,,,,,6,18.0,-115.0,-41.0,7.0,-67.0,-377.0,-377.0,-187.0,-238.0,-238.0,-96.0,-671.0,-2137.0,-103.0,-103.0,-75.0,2010.0,-849.0,-1499.0,169.0,-88.0,-374.0,15.0,-501.0,-1044.0,165.0,-393.0,-6913.0,-652.0,-495.0,-219.0,-1929.0,-33.0,-549.0,167.0,-262.0,-356.0,-4833.0,-1133.0,-1253.0,-565.0,-5.0,-579.0,-332.0,759.0,-258.0,-1352.0,-1302.0,-322.0,-4092.0,,,,
