1,Date,AMZN,GOOG,META,MSFT,ORCL
2,2020-01-02,94.90049743652344,68.36849975585938,209.77999877929688,160.6199951171875,53.95000076293945
3,2020-01-03,93.74849700927734,68.03299713134766,208.6699981689453,158.6199951171875,53.7599983215332
4,2020-01-06,95.14399719238281,69.71050262451172,212.60000610351562,159.02999877929688,54.040000915527344
5,2020-01-07,95.34300231933594,69.66699981689453,213.05999755859375,157.5800018310547,54.15999984741211
6,2020-01-08,94.59850311279297,70.21600341796875,215.22000122070312,160.08999633789062,54.130001068115234
7,2020-01-09,95.05249786376953,70.99150085449219,218.3000030517578,162.08999633789062,54.380001068115234
8,2020-01-10,94.15799713134766,71.48650360107422,218.05999755859375,161.33999633789062,54.45000076293945
9,2020-01-13,94.56500244140625,71.96150207519531,221.91000366210938,163.27999877929688,54.58000183105469
10,2020-01-14,93.47200012207031,71.54399871826172,219.05999755859375,162.1300048828125,54.880001068115234
11,2020-01-15,93.10099792480469,71.95999908447266,221.14999389648438,163.17999267578125,54.7599983215332
12,2020-01-16,93.89700317382812,72.58499908447266,221.77000427246094,166.1699981689453,55.43000030517578
13,2020-01-17,93.23600006103516,74.01950073242188,222.13999938964844,167.10000610351562,55.130001068115234
14,2020-01-21,94.5999984741211,74.22000122070312,221.44000244140625,166.5,55.220001220703125
15,2020-01-22,94.37300109863281,74.29750061035156,221.32000732421875,165.6999969482422,54.720001220703125
16,2020-01-23,94.22899627685547,74.3324966430664,219.75999450683594,166.72000122070312,54.97999954223633
17,2020-01-24,93.08200073242188,73.33550262451172,217.94000244140625,165.0399932861328,54.06999969482422
18,2020-01-27,91.41699981689453,71.69499969482422,214.8699951171875,162.27999877929688,52.689998626708984
19,2020-01-28,92.6624984741211,72.62799835205078,217.7899932861328,165.4600067138672,53.459999084472656
20,2020-01-29,92.9000015258789,72.93150329589844,223.22999572753906,168.0399932861328,53.20000076293945
21,2020-01-30,93.53399658203125,72.79199981689453,209.52999877929688,172.77999877929688,53.310001373291016
22,2020-01-31,100.43599700927734,71.71150207519531,201.91000366210938,170.22999572753906,52.45000076293945
23,2020-02-03,100.20999908447266,74.2969970703125,204.19000244140625,174.3800048828125,53.09000015258789
24,2020-02-04,102.4834976196289,72.35350036621094,209.8300018310547,180.1199951171875,54.040000915527344
25,2020-02-05,101.99349975585938,72.4114990234375,210.11000061035156,179.89999389648438,54.7400016784668
26,2020-02-06,102.5114974975586,73.8115005493164,210.85000610351562,183.6300048828125,54.709999084472656
27,2020-02-07,103.96399688720703,73.96150207519531,212.3300018310547,183.88999938964844,54.720001220703125
28,2020-02-10,106.69550323486328,75.43399810791016,213.05999755859375,188.6999969482422,54.9900016784668
29,2020-02-11,107.54000091552734,75.43949890136719,207.19000244140625,184.44000244140625,55.150001525878906
30,2020-02-12,108.0,75.91349792480469,210.75999450683594,184.7100067138672,55.72999954223633
31,2020-02-13,107.49349975585938,75.73300170898438,213.13999938964844,183.7100067138672,55.310001373291016
32,2020-02-14,106.74349975585938,76.03700256347656,214.17999267578125,185.35000610351562,55.470001220703125
33,2020-02-18,107.78350067138672,75.9834976196289,217.8000030517578,187.22999572753906,55.45000076293945
34,2020-02-19,108.51100158691406,76.33450317382812,217.49000549316406,187.27999877929688,55.439998626708984
